27
88 3828
69 81 34
51 87 89
43 45 0
12 65 1
8 23 54
11 66 48
31 43 55
13 78 73
28 63 10
56 77 86
62 84 83
8 32 16
65 85 73
15 34 17
19 48 8
14 75 56
18 54 54
70 81 28
3 43 44
47 82 20
4 79 25
8 34 11
57 68 27
39 46 92
14 36 33
2 13 71
7 43 41
13 24 78
1 46 86
57 83 63
15 19 45
36 49 28
37 72 49
13 41 14
4 50 0
36 71 3
31 72 2
3 61 87
37 55 87
2 45 99
1 7 22
27 63 64
79 84 20
49 74 45
57 58 37
21 72 27
8 9 91
27 40 99
44 61 49
1 34 13
56 86 45
78 83 79
8 37 74
18 33 84
13 22 4
32 49 48
2 88 11
31 83 67
15 22 42
45 76 81
72 84 16
79 86 40
45 69 33
42 62 81
26 55 53
41 88 88
2 56 17
1 85 52
45 85 60
51 72 8
39 77 74
15 81 77
26 68 20
47 66 1
39 51 81
68 86 27
29 55 0
1 42 65
56 85 52
22 59 84
34 52 1
54 80 82
46 57 95
11 78 32
37 41 22
51 81 41
33 76 57
63 73 22
49 71 80
30 38 52
25 34 37
50 62 28
40 50 23
11 25 69
76 88 41
3 14 8
21 86 47
15 67 19
8 86 16
26 87 56
33 47 72
32 50 1
39 78 21
17 65 20
84 87 4
45 75 78
42 56 28
19 87 67
39 48 92
14 66 70
27 50 16
69 74 65
19 81 53
27 32 18
1 45 83
2 36 39
28 68 5
44 82 99
24 28 36
1 69 71
9 50 53
57 65 66
72 87 31
33 72 38
20 67 10
72 82 67
7 39 87
64 84 79
60 64 45
33 35 31
39 61 62
12 42 84
61 77 73
26 74 61
51 70 16
13 40 32
38 87 7
13 87 44
24 82 96
18 45 53
77 78 2
51 73 13
4 88 80
23 30 95
60 84 91
57 84 19
26 35 69
2 67 32
60 69 39
21 52 49
6 77 13
6 29 65
54 66 53
58 61 7
9 62 28
13 64 94
20 84 8
13 49 39
17 46 62
48 62 11
4 86 80
54 83 90
8 60 5
26 37 40
65 71 8
23 32 25
75 81 34
63 86 70
4 13 21
11 84 70
28 71 41
55 65 24
67 78 51
52 64 70
28 55 90
24 41 13
22 48 79
1 28 40
15 18 64
2 55 13
11 34 22
