36
44 322
1 2 217
2 3 959
3 4 354
4 5 88
5 6 89
6 7 278
1 8 504
2 9 236
1 10 461
3 11 298
1 12 462
6 13 667
2 14 987
6 15 681
4 16 691
9 17 975
13 18 702
3 19 390
11 20 58
9 21 827
5 22 249
3 23 196
18 24 265
12 25 768
19 26 364
3 27 897
24 28 874
6 29 608
19 30 122
26 31 147
5 32 442
22 33 52
4 34 346
12 35 834
32 36 925
15 37 621
12 38 166
27 39 936
34 40 708
16 41 376
6 42 764
15 43 620
29 44 62
8 39 240
20 36 382
23 42 98
6 25 935
19 22 176
4 32 506
4 22 982
13 15 744
20 43 287
10 19 587
23 35 74
17 27 425
16 35 694
9 34 327
19 34 127
10 21 113
1 33 463
2 38 564
25 34 314
22 23 38
11 14 522
25 31 875
17 32 240
31 34 680
14 33 923
10 14 671
25 40 332
29 38 229
33 35 739
18 22 217
24 33 200
3 24 253
28 35 38
3 39 930
14 23 973
1 35 530
14 18 488
2 23 414
31 37 82
23 33 364
1 11 819
10 24 27
3 32 917
31 43 322
3 14 45
19 21 191
26 43 371
38 44 323
7 28 451
32 35 95
6 11 716
22 27 282
16 20 469
17 40 466
4 23 598
13 44 121
24 43 281
22 43 188
15 27 808
1 25 706
14 15 387
1 42 316
15 28 202
8 31 7
19 27 337
25 35 29
1 37 110
30 40 935
7 25 588
20 42 807
17 36 82
20 44 705
35 42 979
32 44 93
17 18 516
33 41 862
22 29 928
11 24 74
28 34 768
32 40 806
19 33 782
17 28 768
7 42 951
40 42 587
28 38 971
4 11 840
16 42 932
12 40 764
13 21 966
20 40 410
6 26 818
11 15 799
2 35 759
30 39 547
22 37 789
22 42 791
19 31 922
13 36 918
15 40 463
24 31 60
17 41 535
6 35 299
17 26 788
11 37 218
29 35 908
21 24 903
32 34 140
26 35 527
12 20 836
1 3 506
4 29 73
14 30 831
24 39 712
2 31 972
21 25 36
1 26 164
3 12 850
27 32 130
31 42 442
26 44 703
21 41 454
4 15 192
31 32 931
22 36 196
30 35 668
22 28 734
6 22 577
3 5 168
18 40 625
10 39 191
27 38 90
10 30 652
30 43 895
4 20 631
11 28 326
19 28 147
39 41 338
8 40 280
18 36 550
40 41 792
30 37 519
16 25 178
18 27 381
23 26 720
29 30 531
16 33 289
12 32 710
32 39 903
10 20 868
8 10 219
4 38 668
34 38 673
4 37 425
11 26 168
30 34 849
26 29 598
14 37 769
37 38 476
32 42 270
2 25 205
7 35 948
4 14 784
33 44 375
20 23 700
10 13 272
18 26 354
1 27 944
10 42 51
8 13 647
12 33 818
2 27 455
16 27 845
27 33 700
17 44 351
2 18 348
21 42 692
7 29 280
12 37 459
13 43 299
9 25 224
11 25 892
12 41 147
5 27 135
18 28 550
4 24 712
20 21 833
2 40 574
30 44 474
28 39 47
19 25 349
3 17 704
3 44 175
28 37 782
4 8 401
5 11 755
1 24 66
9 12 18
32 37 322
5 19 960
7 17 956
5 39 153
1 30 804
1 41 440
9 31 346
5 41 765
6 37 430
20 33 961
6 43 422
35 43 363
30 41 629
12 21 51
2 34 120
2 6 24
1 44 327
4 21 268
15 18 97
34 35 560
8 42 593
14 38 507
7 9 361
18 31 172
31 33 842
34 39 193
9 24 8
13 20 556
1 17 585
38 40 104
3 10 262
11 27 628
10 34 177
13 27 138
30 31 508
13 32 442
19 40 751
31 41 834
7 40 65
20 35 291
5 38 106
24 29 682
16 19 694
15 44 837
2 12 279
16 24 914
3 34 552
26 40 345
9 41 956
14 28 920
13 30 978
31 38 982
4 35 315
13 24 703
37 42 280
15 34 346
2 10 838
13 23 867
5 23 62
13 38 71
1 9 990
18 30 823
9 29 932
8 17 961
12 19 726
19 29 119
9 40 246
5 43 261
21 36 519
6 12 192
35 44 186
24 44 180
12 15 312
4 28 851
22 32 319
20 26 251
9 16 636
12 16 36
8 41 63
16 22 676
13 26 816
7 15 70
28
